iter	Passed	Remaining
772	1085	318
773	1086	317
774	1086	315
775	1087	313
776	1088	312
777	1089	310
778	1090	309
779	1091	307
780	1091	306
781	1092	304
782	1093	302
783	1093	301
784	1094	299
785	1094	298
786	1095	296
787	1108	298
788	1112	297
789	1114	296
790	1114	294
791	1115	293
792	1116	291
793	1117	289
794	1117	288
795	1118	286
796	1119	285
797	1120	283
798	1120	281
799	1121	280
800	1121	278
801	1122	277
802	1123	275
803	1123	274
804	1124	272
805	1125	270
806	1126	269
807	1143	271
808	1144	270
809	1145	268
810	1146	267
811	1146	265
812	1147	263
813	1147	262
814	1148	260
815	1149	259
816	1149	257
817	1150	256
818	1151	254
819	1152	253
820	1153	251
821	1153	249
822	1154	248
823	1155	246
824	1155	245
825	1156	243
826	1157	242
827	1158	240
828	1158	239
829	1159	237
830	1160	236
831	1161	234
832	1161	232
833	1162	231
834	1163	229
835	1163	228
836	1164	226
837	1165	225
838	1166	223
839	1169	222
840	1183	223
841	1184	222
842	1185	220
843	1185	219
844	1186	217
845	1187	216
846	1187	214
847	1188	212
848	1188	211
849	1189	209
850	1189	208
851	1190	206
852	1191	205
853	1191	203
854	1192	202
855	1192	200
856	1193	199
857	1194	197
858	1194	196
859	1195	194
860	1196	193
861	1197	191
862	1197	190
863	1198	188
864	1198	187
865	1199	185
866	1200	184
867	1201	182
868	1201	181
869	1202	179
870	1203	178
871	1204	176
872	1204	175
873	1205	173
874	1206	172
875	1206	170
876	1207	169
877	1207	167
878	1208	166
879	1209	164
880	1210	163
881	1211	162
882	1212	160
883	1213	159
884	1214	157
885	1216	156
886	1231	156
887	1232	155
888	1233	153
889	1234	152
890	1234	151
891	1235	149
892	1236	148
893	1236	146
894	1237	145
895	1238	143
896	1239	142
897	1240	140
898	1240	139
899	1241	137
900	1242	136
901	1243	135
902	1244	133
903	1244	132
904	1245	130
905	1246	129
906	1246	127
907	1247	126
908	1248	125
909	1249	123
910	1250	122
911	1250	120
912	1251	119
913	1251	117
914	1252	116
915	1253	114
916	1254	113
917	1255	112
918	1255	110
919	1256	109
920	1264	108
921	1273	107
922	1274	106
923	1275	104
924	1276	103
925	1276	102
926	1277	100
927	1278	99
928	1278	97
929	1279	96
930	1279	94
931	1280	93
932	1280	91
933	1281	90
934	1282	89
935	1282	87
936	1283	86
937	1284	84
938	1284	83
939	1285	82
940	1286	80
941	1287	79
942	1289	77
943	1289	76
944	1290	75
945	1291	73
946	1291	72
947	1292	70
948	1293	69
949	1293	68
950	1294	66
951	1294	65
952	1295	63
953	1295	62
954	1296	61
955	1297	59
956	1297	58
957	1298	56
958	1298	55
959	1308	54
960	1315	53
961	1315	51
962	1316	50
963	1317	49
964	1318	47
965	1318	46
966	1319	45
967	1320	43
968	1320	42
969	1321	40
970	1321	39
971	1322	38
972	1323	36
973	1323	35
974	1324	33
975	1324	32
976	1325	31
977	1326	29
978	1326	28
979	1327	27
980	1328	25
981	1329	24
982	1329	22
983	1330	21
984	1330	20
985	1331	18
986	1333	17
987	1333	16
988	1334	14
989	1335	13
990	1335	12
991	1336	10
992	1336	9
993	1337	8
994	1337	6
995	1338	5
996	1339	4
997	1339	2
998	1340	1
999	1340	0
